subscale,id,score_after,score_before,total_hours_played_after,total_hours_played_before,hours_diff,score_diff,loneliness_after
stress,149,8,0,40,20,-20,-8,4
stress,150,8,6,0,11.999999999999998,11.999999999999998,-2,6
stress,151,20,20,40,21,-19,0,9
stress,152,28,20,28.000000000000004,12,-16.000000000000004,-8,7
stress,153,6,4,15,15,0,-2,3
stress,154,18,22,40,15,-25,4,8
stress,155,10,4,0,0,0,-6,7
stress,156,10,6,30,16,-14,-4,4
stress,157,2,4,31,27,-4,2,6
stress,158,10,16,28,42,14,6,5
stress,159,20,12,30,8,-22,-8,6
stress,160,38,34,16,30,14,-4,8
stress,161,20,14,35,0,-35,-6,5
stress,162,14,12,10,8,-2,-2,3
stress,163,6,10,43,30,-13,4,6
stress,164,8,10,0,15,15,2,9
stress,165,12,6,38,30,-8,-6,4
stress,166,26,20,65,49,-16,-6,8
stress,167,24,34,0,0,0,10,4
stress,168,8,2,10,2,-8,-6,4
stress,169,22,12,0,0,0,-10,3
stress,170,14,16,50,0,-50,2,9
stress,171,10,16,55,5.999999999999999,-49,6,6
stress,172,12,18,45,8,-37,6,7
stress,173,22,16,30,25,-5,-6,9
stress,174,10,8,0,0,0,-2,4
stress,175,0,2,0,0,0,2,3
stress,176,34,24,60,20,-40,-10,7
stress,177,14,12,60,40,-20,-2,6
stress,178,10,8,45,45,0,-2,7
stress,179,24,14,30,15,-15,-10,5
stress,180,14,10,18,0,-18,-4,8
stress,181,18,12,20,14,-6,-6,4
stress,182,24,10,10,15,5,-14,7
stress,183,12,12,0,0,0,0,5
stress,184,26,20,46,30,-16,-6,9
stress,185,14,4,12,5,-7,-10,5
stress,186,28,18,40,10,-30,-10,9
stress,187,36,18,25,10,-15,-18,9
stress,188,26,8,35,25,-10,-18,6
stress,189,10,4,25,27,2,-6,5
stress,190,8,8,24,12,-12,0,3
stress,191,16,10,0,0,0,-6,3
stress,192,20,20,40,30,-10,0,9
stress,193,26,26,28.000000000000004,0,-28.000000000000004,0,7
stress,194,28,28,51,13,-38,0,9
stress,195,2,4,50,24,-26,2,3
stress,196,18,6,25,15,-10,-12,6
stress,197,26,26,10,8,-2,0,4
stress,198,2,4,35,11.999999999999998,-23,2,6
stress,199,0,10,46,33,-13,10,3
stress,200,34,22,0,0,0,-12,8
stress,201,8,26,13.5,3,-10.5,18,4
stress,202,2,0,45,35,-10,-2,3
stress,203,40,16,36,20,-16,-24,6
stress,204,16,12,6,11,5,-4,6
stress,205,20,8,60,20,-40,-12,5
stress,206,26,22,55,40,-15,-4,8
stress,207,32,28,26,7.000000000000001,-19,-4,9
stress,208,6,14,35,12,-23,8,3
stress,209,18,10,70,30,-40,-8,6
stress,210,24,16,80,40,-40,-8,7
stress,211,38,26,30,20,-10,-12,8
stress,212,24,14,38,30,-8,-10,6
stress,213,24,14,31,10,-21,-10,8
stress,214,24,28,0,30,30,4,8
stress,215,24,10,0,0,0,-14,5
stress,216,28,28,37,25,-12,0,5
stress,217,20,18,65,40,-25,-2,7
stress,218,0,4,55,25,-30,4,3
stress,219,10,8,22,13,-9,-2,8
stress,220,4,4,7,9,2,0,6
